id_ruta,Nombre,Origen,Destino,,,,,,,,
rt_001,Autobus 88: Tarragona – Vila-seca – Salou,Tarragona,Salou,,,,,,,,
rt_002,Autobus 88: Salou – Vila-seca – Tarragona,Salou,Tarragona,,,,,,,,
rt_003,Autobus 11 Tarragona – Vila-seca - Cavet – Cambrils Estación ,Tarragona,Cambrils,,,,,,,,
rt_004,Autobus 11 Cambrils – cavet – Vila-seca – Tarragona,Cambrils,Tarragona,,,,,,,,
rt_005,Autobus 74 Tarragona – La Pineda – Cap Salou – Salou – Port Aventura,Tarragona,Pot Aventura,,,,,,,,
rt_006,Autobus 74 Port Aventura – Salou – Cap Salou – La Pineda – Tarragona,Pot Aventura,Tarragona,,,,,,,,
rt_007,Autobus 4 Tarragona – La Pineda – Cap Salou – Salou – Vilafortunuy  - Cambrils BM,Tarragona,Cambrils,,,,,,,,
rt_008,Autobus 4 Cambrils BM – Vilafortuny – Salou – Cap Salou – La Pineda – Tarragona,Cambrils,Tarragona,,,,,,,,
rt_009A,Autobus 30 Reus Estacio – Hospital Sant Joan – Vila-seca,Reus,Vila-seca,,,,,,,,
rt_009B,Autobus 30 Reus Estacio – Av. Salou – La Plana – Vila-seca,Reus,Vila-seca,,,,,,,,
rt_009C,Autobus 30 Reus Estacio – Av. Salou – La Plana – Vila-seca,Reus,Vila-seca,,,,,,,,
rt_009D,Autobus 30 Reus Estacio – Av. Salou – La Plana – Vila-seca,Reus,Vila-seca,,,,,,,,
rt_010A,Autobus 30 Vila-seca - Hospital Sant Joan – Reus Estacio,Vila-seca,Reus,,,,,,,,
rt_010B,Autobus 30 Vila-seca – La Plana – Reus Estacio,Vila-seca,Reus,,,,,,,,
rt_010C,Autobus 30 Vila-seca - Hospital Sant Joan – Reus Estacio,Vila-seca,Reus,,,,,,,,
rt_011A,Autobus 39 Vila-seca – La Pineda – Salou – Vila-seca,Vila-seca,La Pineda,,,,,,,,
rt_011B,Autobus 39 Vila-seca – La Pineda – Salou – Vila-seca,La Pineda,Vila-seca,,,,,,,,
rt_011C,Autobus 39 Vila-seca – La Pineda – CapSalou – Salou,La Pineda,Salou,,,,,,,,
rt_011D,Autobus 39 Salou – CapSalou – La Pineda – Vila-seca,Salou,La Pineda,,,,,,,,
