parada,latitud,longitud,Id_parada,localidad,,
Av. de la Diputació - rotonda Club Nàutic,41.065971,1.064958,R001,cambrils,,
Av. de la Diputació (al davant Residencial Costa Blanca II) sentit Salou,41.065369,1.075655,R002,cambrils,,
Av. de la Diputació (Platja Cavet -abans del pont de fusta) sentit Salou,41.0646789,1.0787987,R003,cambrils,,
Av. de la Diputació (pal parada Torre de l'esquirol),41.0645327,1.0847292,R004,cambrils,,
"Av. de la Diputació, 56-58 (Esquirol Park sentit Salou)",41.066198,1.088291,R005,cambrils,,
"Av. de la Diputació, 70 (pal parada Hotel Centurion)",41.067711,1.091297,R006,cambrils,,
"Av. de la Diputació, 88(Urb. Reus Mediterrani-sentit Salou)",41.069674,1.095443,R007,cambrils,,
"Av. de la Diputació, 100 (marquesina-sentit Salou)",41.070114,1.096839,R008,cambrils,,
"Av. de la Diputació, 128 (pal parada davant H. Best Cambrils)",41.070982,1.10119,R009,cambrils,,
"Av.de la Diputació, 142 (davant ed. Serviola-sentit salou)",41.071702,1.105035,R010,cambrils,,
"Av. de la Diputació, 192 (pal parada Hotel Augustus) sentit Salou",41.074022,1.114939,R011,cambrils,,
Passeig de Miramar - Pl. Venus (pal parada),41.074476,1.118725,R012,salou,,
Passeig de Jaume I (Club Nautic) marquesina-sentit La Pineda,41.075327,1.132396,R013,salou,,
Passeig de Jaume I (pal parada monument) sentit La Pineda,41.074587,1.139375,R014,salou,,
"C/Brussel·les, 8 - C/Bilbao (pal parada) sentit La Pineda",41.072127,1.145415,R015,salou,,
C/Brussel·les (marquesina al davant Hotel Salou Park) sentit La Pineda,41.069456,1.148868,R016,salou,,
c/del Falset amb c/ delVendrell (sentit Tarragona),41.069241,1.153157,R017,salou,,
Ctra. de la Costa - C. Replanells. Marquesina sentit La Pineda,41.063765,1.160495,R018,cap salou,,
"Ctra. de la Costa, 27 (Don Pancho i Agencia Plana)",41.061797,1.161901,R019,cap salou,,
Ctra. de la Costa (Far Salou - Festival Village),41.061149,1.168332,R020,cap salou,,
"Ctra. de la Costa, 58 pal parada al davant c/Llorer sentit Tarragona",41.061789,1.172608,R021,cap salou,,
Ctra. de la Costa (passat Salou Club) eliminada,41.064243,1.175207,R022,cap salou,,
C-14 sentit Reus (Prosegur),41.115491,1.125008,R023,reus,,
C-14 sentit Reus (marquesina al costat La Plana),41.129561,1.122265,R024,reus,,
"Av.de Salou, 84 (pal parada-Barri Juroca)",41.142438,1.115554,R025,reus,,
Estació d'autobusos Reus,41.14747,1.112159,R026,reus,,
"Av. Salou, 121 (Barri Juroca) sentit Salou",41.14042,1.116881,R027,reus,,
Av. Salou (Fàbrica Borges),41.136676,1.11979,R028,reus,,
C-14 sentit Salou (al davant pal-parada La Plana),41.129249,1.122028,R029,reus,,
C-14 sentit Salou (Prosegur),41.1157828,1.1247469,R030,reus,,
"Ctra. de la Costa 81-77, pal parada Km5",41.061622,1.171653,R031,cap salou,,
Ctra. de la Costa (marquesina davant Festival Village) sentit Cambrils,41.061334,1.168466,R032,cap salou,,
Crta. de la Costa (C. de la Ginesta),41.061963,1.162136,R033,cap salou,,
Ctra. de la Costa-C. Replanells,41.06376,1.160603,R034,cap salou,,
Av. de Pompeu Fabra - C. Carles Buïgas (La Cage),41.070299,1.154128,R035,salou,,
c/ del Vendrell amb c/ de Roger de Llúria (al costat Ohtels Villadorada sentit Cambrils),41.068204,1.152278,R036,salou,,
c/ d'Amposta amb c/ de Carles Buïgas (al davant Burger King sentit Cambrils),41.071496,1.14987,R037,salou,,
C. de Barbastre - Pg. de la Jota,41.073867,1.147193,R038,salou,,
Pg. de Jaume I (davant La Ibense),41.073964,1.14237,R039,salou,,
Pg. de Jaume I - C/ de Madrid (Melé - Souvenirs Blai),41.074831,1.138245,R040,salou,,
Pg. de Jaume I - C/ de París (Clóe),41.0751,1.135984,R041,salou,,
Pg. de Jaume I (davant Patronat Turisme),41.075249,1.134223,R042,salou,,
Passeig de Miramar (Hotel Casablanca),41.075499,1.129258,R043,salou,,
"Passeig de Miramar, 40 (pal parada)",41.075216,1.12419,R044,cambrils,,
Pl. de Venus (pal parada souvenirs),41.074631,1.118017,R045,cambrils,,
"Av. de la Diputació, 197 (Hotel Cesar Augustus) sentit Cambrils",41.074169,1.115344,R046,cambrils,,
"Av. de la Diputació, 185 al costat H. Best Maritim sentit Cambrils",41.073769,1.113077,R047,cambrils,,
Av. de la Diputació (pal parada benzinera Shell),41.072603,1.108133,R048,cambrils,,
"Av. de la Diputació, 141 (marquesina Hotel Best Cambrils)",41.071153,1.101665,R049,cambrils,,
"Av. de la Diputació, 85 (Urb. Reus Mediterrani) sentit Cambrils",41.069355,1.094367,R050,cambrils,,
"Av. de la Diputació, 77 (Hotel Cambrils Playa) sentit Cambrils",41.067766,1.091223,R051,cambrils,,
Av. de la Diputació (pal parada al costat Ed. 7Pins) sentit Cambrils,41.066045,1.087787,R052,cambrils,,
Av. de la Diputació - Av. Oleastrum (pal parada) sentit Cambrils,41.064672,1.083655,R053,cambrils,,
Av. de la Diputació (Platja Cavet - sentit Cambrils),41.064737,1.079041,R054,cambrils,,
"Av. de la Diputació, 32 (pal parada Apart. Playazul)",41.066245,1.074247,R055,cambrils,,
Av. de la Diputació - C. Vila-seca (Michelangelo),41.066973,1.069805,R056,cambrils,,
Av. de la Diputació - Rambla Regueral,41.066354,1.066381,R057,cambrils,,
Aeroport de Reus,41.146872,1.152367,R058,reus,,
"C. Ciutat de Reus, 33",41.085155,1.13016,R059,salou,,
"C. Ciutat de Reus, 1",41.0790843,1.1299859,R060,salou,,
