,id,ruta_id,parada_id,orden_secuencia,minutos_desde_origen,,
,1,rt_001,R067,0,00:00,,
,2,rt_001,R090,1,00:04,,
,3,rt_001,R091,2,00:05,,
,4,rt_001,R150,3,00:06,,
,5,rt_001,R092,4,00:06,,
,6,rt_001,R140,5,00:08,,
,7,rt_001,R141,6,00:09,,
,8,rt_001,R142,7,00:11,,
,9,rt_001,R143,8,00:12,,
,10,rt_001,S002,9,00:13,,
,11,rt_001,S004,10,00:14,,
,12,rt_001,S006,11,00:15,,
,13,rt_001,S010,12,00:16,,
,14,rt_001,S012,13,00:17,,
,15,rt_001,R149,14,00:19,,
,16,rt_001,R059,15,00:21,,
,17,rt_001,R060,16,00:22,,
,18,rt_002,R060,0,00:00,,
,19,rt_002,R065,1,00:01,,
,20,rt_002,R066,2,00:03,,
,21,rt_002,R078,3,00:08,,
,22,rt_002,S011,4,00:10,,
,23,rt_002,S009,5,00:11,,
,24,rt_002,S006,6,00:12,,
,25,rt_002,S003,7,00:13,,
,26,rt_002,S001,8,00:14,,
,27,rt_002,R085,9,00:17,,
,28,rt_002,R148,10,00:18,,
,29,rt_002,R086,11,00:19,,
,30,rt_002,R087,12,00:20,,
,31,rt_002,R088,13,00:21,,
,32,rt_002,R144,14,00:22,,
,33,rt_002,R090,15,00:25,,
,34,rt_002,R126,16,00:26,,
,35,rt_002,R067,17,00:30,,
,36,rt_003,R067,0,00:00,,
,37,rt_003,R090,1,00:02,,
,38,rt_003,R091,2,00:03,,
,39,rt_003,R088,3,00:04,,
,40,rt_003,R087,4,00:06,,
,41,rt_003,R086,5,00:08,,
,42,rt_003,S002,6,00:10,,
,43,rt_003,S004,7,00:12,,
,44,rt_003,S010,8,00:14,,
,45,rt_003,S012,9,00:15,,
,46,rt_003,R095,10,00:20,,
,47,rt_003,R097,11,00:23,,
,48,rt_003,R099,12,00:25,,
,49,rt_003,R100,13,00:26,,
,50,rt_003,R073,14,00:27,,
,51,rt_003,R072,15,00:28,,
,52,rt_003,R071,16,00:30,,
,53,rt_003,R070,17,00:31,,
,54,rt_003,R151,18,00:32,,
,55,rt_003,R104,19,00:33,,
,56,rt_003,R105,20,00:35,,
,57,rt_004,R105,0,00:00,,
,58,rt_004,R068,1,00:02,,
,59,rt_004,R069,2,00:03,,
,60,rt_004,R070,3,00:04,,
,61,rt_004,R103,4,00:05,,
,62,rt_004,R072,5,00:06,,
,63,rt_004,R073,6,00:07,,
,64,rt_004,R074,7,00:08,,
,65,rt_004,R075,8,00:09,,
,66,rt_004,R175,9,00:10,,
,67,rt_004,R063,10,00:13,,
,68,rt_004,S011,11,00:18,,
,69,rt_004,S009,12,00:19,,
,70,rt_004,S007,13,00:20,,
,71,rt_004,S003,14,00:21,,
,72,rt_004,S001,15,00:25,,
,73,rt_004,R086,16,00:33,,
