Línea,Número Tren,Código Estación,Hora de Paso,Estación Destino,Calendario
R15,15001 RE,t_001,06:45,Reus,laborable
R15,15001 RE,t_002,06:56,Reus,laborable
R15,15001 RE,t_003,07:03,Reus,laborable
R15,15001 RE,t_004,07:36,Reus,laborable
R15,15001 RE,t_005,07:49,Reus,laborable
R15,15001 RE,t_006,07:59,Reus,laborable
R15,15001 RE,t_007,08:02,Reus,laborable
R15,15001 RE,t_008,08:14,Reus,laborable
R15,15001 RE,t_010,08:22,Reus,laborable
R15,15001 RE,t_011,08:33,Reus,laborable
R15,15003 RE,t_001,07:45,Reus,diario
R15,15003 RE,t_002,07:56,Reus,diario
R15,15003 RE,t_003,08:03,Reus,diario
R15,15003 RE,t_004,08:36,Reus,diario
R15,15003 RE,t_005,08:49,Reus,diario
R15,15003 RE,t_006,08:59,Reus,diario
R15,15003 RE,t_007,09:02,Reus,diario
R15,15003 RE,t_008,09:14,Reus,diario
R15,15003 RE,t_010,09:22,Reus,diario
R15,15003 RE,t_011,09:33,Reus,diario
R15,15005 RE,t_001,09:45,Reus,diario
R15,15005 RE,t_002,09:56,Reus,diario
R15,15005 RE,t_003,10:03,Reus,diario
R15,15005 RE,t_004,10:36,Reus,diario
R15,15005 RE,t_005,10:49,Reus,diario
R15,15005 RE,t_006,10:59,Reus,diario
R15,15005 RE,t_007,11:02,Reus,diario
R15,15005 RE,t_008,11:14,Reus,diario
R15,15005 RE,t_010,11:22,Reus,diario
R15,15005 RE,t_011,11:33,Reus,diario
R15,15007 RE,t_001,10:45,Reus,diario
R15,15007 RE,t_002,10:56,Reus,diario
R15,15007 RE,t_003,11:03,Reus,diario
R15,15007 RE,t_004,11:36,Reus,diario
R15,15007 RE,t_005,11:49,Reus,diario
R15,15007 RE,t_006,11:59,Reus,diario
R15,15007 RE,t_007,12:02,Reus,diario
R15,15007 RE,t_008,12:14,Reus,diario
R15,15007 RE,t_010,12:22,Reus,diario
R15,15007 RE,t_011,12:33,Reus,diario
R15,15011 RE,t_001,14:15,Reus,diario
R15,15011 RE,t_002,14:26,Reus,diario
R15,15011 RE,t_003,14:33,Reus,diario
R15,15011 RE,t_004,15:06,Reus,diario
R15,15011 RE,t_005,15:19,Reus,diario
R15,15011 RE,t_006,15:29,Reus,diario
R15,15011 RE,t_007,15:32,Reus,diario
R15,15011 RE,t_008,15:44,Reus,diario
R15,15011 RE,t_010,15:52,Reus,diario
R15,15011 RE,t_011,16:03,Reus,diario
R15,15013 RE,t_001,15:15,Reus,diario
R15,15013 RE,t_002,15:26,Reus,diario
R15,15013 RE,t_003,15:33,Reus,diario
R15,15013 RE,t_004,16:06,Reus,diario
R15,15013 RE,t_005,16:19,Reus,diario
R15,15013 RE,t_006,16:29,Reus,diario
