id,estacion,latitud,longitud
t_001,Barcelona-Estació de França,41.3844324,2.1853105
t_002,Barcelona-Passeig de Gràcia,41.392338,2.164656
t_003,Barcelona-Sants,41.379335,2.1394773
t_004,Vilanova i la Geltrú,41.2201668,1.7305269
t_005,Sant Vicenç de Calders,41.1861054,1.5245117
t_006,Torredembarra,41.1427985,1.4057036
t_007,Altafulla-Tamarit,41.1367887,1.3741011
t_008,Tarragona,41.1115634,1.253232
t_009,Camp de Tarragona,41.1921826,1.273878
t_010,Vila-seca,41.1128032,1.1503332
t_011,Reus,41.1604541,1.1001041
t_012,Les Borges del Camp,41.1664731,1.0221315
t_013,Riudecanyes-Botarell,41.1400222,0.9756851
t_014,Duesaigües-L'Argentera,41.1436386,0.9208351
t_015,Pradell de la Teixeta,41.133329,0.8586158
t_016,Marçà-Falset,41.1308992,0.8103526
t_017,Capçanes,41.1020781,0.780339
t_018,Móra la Nova,41.1065208,0.653247
t_019,Ascó,41.1823587,0.5690063
t_020,Flix,41.229399,0.5400743
t_021,Riba-roja d'Ebre,41.2485589,0.4810704
t_022,Faió-La Pobla de Massaluca,41.2250145,0.3510729
t_023,Nonaspe,41.213588,0.2419351
t_024,Fabara,41.234438,0.143302
t_025,Caspe,41.239866,-0.0427502
t_026,Cambrils,41.0815558,1.0457072
t_027,L'Hospitalet de l'Infant,40.99954939,0.9125059
t_028,L'Ametlla de Mar,40.8862792,0.8004076
t_029,L'Ampolla-Perelló-Deltebre,40.8121411, 0.7082561
t_030,Camarles-Deltebre,40.7756257,0.6713953
t_031,L'Aldea-Amposta,40.75433979,0.61462827
t_032,Ulldecona-Alcanar-La Sénia,40.5965134,0.44915191
t_033,Vinaròs,40.4735846,0.4559521
t_034,La Selva del Camp,41.2112675,1.1439237
t_035,Alcover,41.2615791,1.1741561
t_036,La Plana-Picamoixons,41.3060974,1.1949549
t_037,La Riba,41.3184699,1.1812863
t_038,Vilaverd,41.3376004,1.1764993
t_039,Montblanc,41.3765805,1.1655496
t_040,L'Espluga de Francolí,41.400627,1.1033167
t_041,Vimbodí i Poblet,41.4026952,1.0459896
t_042,Vinaixa,41.4251246,0.9704029
t_043,La Floresta,41.5041749,0.9243914
t_044,Les Borges Blanques,41.5217222,0.8772657
t_045,Juneda,41.5439419,0.8255156
t_046,Puigverd de Lleida-Artesa de Lleida,41.5536749,0.7333933
t_047,Lleida-Pirineus,41.6207709,0.6327913
t_048,Roda de Mar,41.1864363,1.4555183
t_049,Salomó,41.2234726,1.3766084
t_050,Vilabella,41.2395538,1.3174915
t_051,Nulles-Brafim,41.2503055,1.2975247
t_052,Valls,41.2895851,1.2587537
t_053,Tortosa,40.80875780,0.52277688
t_054,Camp-redó,40.7595084,0.55575567
t_055,L’Aldea – Amposta,40.7548667,0.61446420
